NICKstateNAME                   2008/nga/2akpabio.tou 20081005
PSEI --- Pearl Seitz            24 1707 19980412
TCHA --- Travis Chaney          17 1707 20050703
GLAW --- Glenys Lawrie          24 1706 20001126
SBOO --- Surachaste Boonya     109 1705 20041219
FOLO --- Fidelis Olotu          56 1705 20081005
MDEM --- Martin DeMello        177 1704 20080113
MRAN --- Mario Ranasuriya      127 1704 20030803
SCHU --- Sean Chung             77 1704 20080629
CITT --- Chollapat Itthiaree    55 1704 20080629
MFIL --- Maricris Filio         18 1703 19970526
OAKA IND Olobatoke Aka          24 1702 20080113
NOMA --- Nadeem Omar            18 1702 19980920
DCAL --- Debbie Caldwell        48 1701 20061106
MSUL --- Mohammed Sulaiman      35 1701 20040109
PARR --- Peter Arreola          75 1700 20030629
PBUR GBR Paul Burton            56 1700 20080910
MPAN GBR Mihai Pantis           55 1700 20080504
CGUO --- Chia Guo Cong          42 1700 20071204
IADD --- Isaac Addo             24 1700 20000423
EWAL MLT Evelyn Wallace         18 1699 20080504
SKYA --- Sue Kyatt              64 1698 20021118
CWOR --- Charae Worapotpisut   264 1697 20080629
DASS --- Dixon Assesa          158 1697 20080405
MMAN --- Mensah Mantey          24 1697 20000423
TJIN --- Tan Jin Chor          485 1696 20080629
CWUT --- Chaiwat Wuthinitikor  137 1696 20080629
JMAN --- Joash Manyasa          90 1695 20050327
OMAG --- Onani Magwanga         90 1695 20050327
JDE  --- Jose de Abreu          98 1694 20080113
VCHU --- Victor Chua            42 1693 20071130
LFAG --- Liz Fagerlund         189 1692 20070625
MGOH --- Marcus Goh             62 1692 20071130
PRIC GBR Paul Richards UK       25 1692 20080505
MRIV --- Marcelo Rivera         18 1692 19970526
AAZI --- Azmil Aziz            119 1691 20070625
TLIE --- Thong Liew Kee         73 1691 20010505
LGUA --- Lee Guan Hui           42 1691 20071204
ICHI --- Ishtiaq Chishty       294 1690 20060702
RSUN --- Ramaraj Sundraraj      64 1690 20080622
SKIT --- Suwit Kitkarn          28 1690 20000705
RWEB GBR Ronan Webb             13 1690 20080210
KISS --- Kittikorn Issar        52 1689 20020707
BKOY --- Bernard Koyyoko        42 1689 20041003
DNG  --- David  Ng              23 1689 19990627
ACLI --- Audree Clifton          8 1689 19991102
ABUD --- Anand Buddhdev         64 1688 20071111
SDAV --- Sheryl Davidson        61 1688 19991102
PKAL --- Paul Kalumba          120 1687 20071111
AAJA --- Ademola Ajayi          61 1687 20080210
LONG --- Leroy Ong              40 1687 20070824
EJAR --- Elisabeth Jardine      16 1687 20030630
ARUI --- Ador Ruiz              36 1686 19980920
CRUT --- Cecilia Ruto          191 1685 20080405
LWON --- Leonard Wong          102 1685 20010505
JCOR GBR James Corry            13 1685 20080210
JMUH --- Joe Muhd               57 1684 20000521
JMCG --- Jean McGiffen          27 1684 20000528
WKHA IND Waseem Khatri          24 1684 20080113
BO'B GBR Breda O'Brien          13 1684 20080210
SMOR --- Sandra Morgan          54 1683 20050626
BVIO MLT Bob Violett            18 1683 20080504
TAYO --- Tolani Ayo-Awojobi     73 1682 20021020
DGOR --- Denise Gordon          49 1681 20020707
YASA --- Yaw Asante             24 1681 20000423
NCHI --- Nattawuth Chinrung     44 1680 20071204
CCRE --- Chris Cree             24 1680 20011216
VKIN --- Venayori Kinga         38 1680 20081005
PNAT --- Piyaphong Natesuwan    28 1679 20070625
HMOR --- Henry Morara           24 1679 20021020
JLOR --- Jocelyn Lor           512 1678 20080629
MMUN --- Mwenya Munkonge        48 1678 20080405
WJIT --- Wissavich Jitthav      28 1678 20000705
TTAN --- Thomas Tan             37 1677 20041219
DWAR --- Dianne Ward           366 1676 20080629
TWIC --- Thepparit Wichaya     107 1676 20080629
SCHE --- Santi Cherdchaid       23 1676 19990627
DKAN --- David Kangethe         90 1675 20050327
SHEM --- Sanath Hemachandra    211 1674 20080606
TCHU --- Thanawat Chumai        26 1673 20010701
TTIV --- Thavachai Tivava      190 1672 20080629
KZI  --- Kum Zi Peng            89 1672 20071204
PPIT --- Pornthep Pithachok     12 1672 20000705
JOMO TZA Jared Omolo            24 1670 20080405
GMOO --- Gerry Moore            24 1669 19980412
YLOB --- Yvonne Lobo            21 1666 19971127
TTER --- Thien Termpaisit      229 1665 20080629
GHAL --- Glennis Hale          169 1665 20061106
CHAN --- Chew Han Ei           107 1665 20070625
CHAR GBR Chris Harrison         37 1665 20080111
RONA --- Robbie Onate          249 1663 20071129
